TavgMAX	Tavg	long	d_atl	d_medit	lat	elevation
22,7	16,20	723450	160019	193523	4707450	863
24,3	16,00	723250	166439	184706	4697050	769
21,3	16,55	698550	142067	206090	4706150	892
23,8	16,60	702750	150688	197161	4698150	681
23,5	17,20	686050	141714	205085	4695250	513
26,4	20,70	685250	145704	201075	4689550	482
25,6	19,35	690550	154563	192219	4682450	550
26,0	19,05	690950	154092	192676	4683350	558
25,8	19,50	684050	167048	181324	4662250	384
24,9	18,60	695850	153735	193209	4687750	775
26,5	19,85	692650	170184	177086	4664450	379
26,9	20,10	699550	181122	166149	4655950	360
26,1	19,85	698050	201545	149029	4630150	387
27,1	20,60	685550	188039	163653	4638050	264
25,8	20,30	677250	194717	162437	4625350	243
27,5	20,55	682050	200282	156383	4621650	217
27,3	20,90	707750	217590	133337	4617350	379
27,1	20,55	715150	225827	124455	4612350	382
27,7	20,90	701950	228112	128382	4601050	152
22,1	16,15	670350	258064	137661	4553050	840
21,7	16,40	660450	244919	151554	4563550	857
24,8	19,60	678650	245946	136687	4569250	551
23,7	17,25	681350	292842	108647	4520050	949
23,0	17,00	686250	292450	106010	4522250	947
25,4	19,00	693950	278711	110788	4540150	578
27,0	20,65	708850	271712	103878	4554950	311
29,1	22,30	714550	269211	99872	4560850	278
28,0	20,60	714950	264702	101190	4566250	213
22,5	17,90	720250	289323	89030	4541050	603
21,5	15,60	685750	305529	97986	4508150	1266
22,1	17,10	708750	318825	76361	4502850	1092
22,2	17,05	745250	336752	46505	4500650	1021
18,8	14,45	738450	345740	43302	4486950	1220
25,2	17,45	717850	299409	84274	4528450	653
26,9	19,90	749650	303295	61370	4542250	456
26,2	19,90	740550	292482	71717	4549250	309
29,5	23,50	748050	279850	72492	4569350	132
28,5	22,30	748350	280515	71926	4568750	145
27,7	20,15	755450	260316	86479	4598950	267
27,6	18,80	805350	246847	133965	4673150	516
30,5	23,45	796950	257694	105571	4642950	339
29,4	21,20	802150	273818	86089	4624150	198
29,3	22,10	807950	285549	74079	4613050	186
28,4	21,75	798050	292280	57854	4593350	281
23,0	15,45	763350	184588	194118	4725550	1082
26,2	18,15	758750	192612	172360	4700950	516
26,0	19,00	760550	198661	164064	4692750	530
25,8	19,20	763950	202936	160416	4690150	502
25,9	18,45	760350	208432	148728	4676050	566
21,2	15,20	790750	211460	183239	4720850	1585
28,5	20,60	775350	220446	143219	4675950	490
26,8	19,70	790450	231784	141049	4677850	640
26,2	20,00	771250	217740	143626	4674950	598
27,8	21,25	755150	211716	140809	4664750	432
27,2	20,40	759250	218774	133594	4658750	328
28,1	20,90	757850	219974	131333	4655450	336
28,4	21,40	761850	226380	124947	4650350	324
24,0	17,15	779550	234857	124636	4657750	745
29,0	21,65	764050	231833	118972	4644750	247
26,6	20,25	762950	232507	117662	4642650	237
25,8	19,50	748450	217315	131189	4649650	465
27,8	20,45	738150	206805	140905	4654350	381
25,4	18,85	724850	187935	159580	4667750	541
27,7	20,70	736350	223578	123220	4630650	244
26,6	20,05	736350	223578	123220	4630650	244
26,9	19,90	721150	189330	157736	4662550	532
21,8	15,05	711050	163711	184103	4688050	1022
27,2	20,40	715350	180922	166127	4668650	437
24,7	18,70	712450	189156	157612	4655650	360
25,5	19,45	704650	188980	158277	4649950	363
27,8	20,35	718550	199613	147162	4647150	305
28,0	20,95	726850	206713	140122	4644650	379
27,3	20,00	721850	216580	130722	4628350	370
26,5	20,20	721850	216580	130722	4628350	370
27,9	21,00	732050	228736	118324	4620850	320
27,6	19,80	743750	231343	115634	4626650	239
28,6	21,10	781050	247955	106867	4639350	309
28,0	20,90	773150	242353	109762	4639050	276
28,3	21,70	780050	273227	74558	4602650	134
25,4	18,90	765050	322405	45153	4529550	471
24,4	18,80	758850	325086	46663	4522250	714
25,5	19,75	758950	313935	51333	4535650	524
27,3	20,80	763750	298726	52849	4557250	296
25,9	19,75	778850	322308	32095	4539050	504
28,4	22,15	779150	297121	49647	4570750	184
26,9	20,80	786150	311692	35232	4557750	443
29,6	23,35	796250	308132	38906	4570450	30
25,0	19,15	806850	304141	47326	4585350	494
29,3	22,95	799250	314116	32893	4565150	33
27,2	21,30	812450	316865	34076	4573150	361
28,9	21,65	814450	332049	15730	4554550	224
27,7	22,75	813650	334792	12314	4550250	296
29,3	23,20	794450	343039	15891	4524750	55
19,9	13,95	817550	231591	194923	4734950	1161
23,0	16,10	619450	258238	169248	4538750	1016
23,9	17,30	631650	263710	157542	4535750	1024
24,4	16,25	626550	266989	159171	4531250	1003
22,4	16,30	620150	270064	162237	4526850	1129
