"logit_1_0";"Cattle";"Prot_area";"Powerlines";"Railroads";"WAI";"WGI";"WUI";"Machinery";"FAPU";"Tracks";"Change_pop"
1;203;0;0;0;0;0;0;0,479999989271164;0;486407,5;-0,00999999977648258
1;565,5;0;0;0;447971;0;0;1,27999997138977;0;0;0,104000002145767
1;3927,5;0;0;0;234965;139074;0;1,20000004768372;0;0;0,0740000009536743
1;2;1e+06;0;0;354947;0;0;1,73000001907349;448047;0;0,0430000014603138
1;312,5;0;0;26481,58984375;417375;0;0;9,71000003814697;0;33281,609375;0,0700000002980232
1;211;0;0;0;514001;0;0;2,04999995231628;0;0;0,0910000130534172
1;102;0;0;0;368765;0;52406;1,67999994754791;0;48750,71875;0,0500000007450581
1;32;0;0;0;0;468153;0;0,340000003576279;0;0;0,0990000069141388
1;9377;0;0;0;464133;0;0;7,21999979019165;0;155618,203125;-0,0199999995529652
1;141;0;0;0;422938;149075;0;0,400000005960464;0;0;-0,0979999974370003
1;838;0;0;0;562614;200227;0;1,26999998092651;0;172831,59375;-0,0800000131130219
1;2238,5;1e+06;0;0;378819;256869;0;1,55999994277954;0;57762,44140625;0,0820000022649765
1;539;0;0;0;442199;0;0;3,86999988555908;0;14624,9296875;0,0309999994933605
1;108,333297729492;308166,59375;4404,59619140625;0;360115;33306;0;1,32000005245209;0;0;0,111000001430511
1;26;0;0;0;598940;0;0;0,569999992847443;0;0;0,141000002622604
1;710;0;0;0;450254;0;0;0,629999995231628;0;0;0,0939999967813492
1;302;0;0;0;242941;0;0;0,699999988079071;0;0;-0,0020000000949949
1;2314;0;0;0;363063;0;0;0,439999997615814;468330;0;-0,0509999990463257
1;460,5;0;0;0;511968;0;0;4,46999979019165;0;0;0,0130000002682209
1;1524,5;0;111213,703125;0;353884;83401;0;2,50999999046326;148083;0;-0,0020000000949949
1;539;0;0;0;375223;0;0;1,63999998569489;0;0;0,0599999986588955
1;519;0;0;0;39429;0;0;1,01999998092651;0;173126,90625;1,03199994564056
1;563;0;0;0;227253;0;0;1,5900000333786;0;710659,8125;0,880999982357025
1;350;0;0;0;381661;0;0;1,17999994754791;0;0;-0,0579999983310699
1;52,6666717529297;0;92899,6328125;290879,3125;284296;0;0;1,58000004291534;0;316056,5;0,382999986410141
1;198,5;0;0;21112,8203125;99034;0;0;1,17999994754791;0;119976,8984375;-0,103000000119209
1;447;1e+06;0;0;0;0;0;0,140000000596046;0;0;-0,00499999988824129
1;991;0;0;0;248898;0;0;0,379999995231628;0;49473,53125;0,0570000000298023
1;302;72174,171875;0;0;0;0;0;0,699999988079071;0;13116,2001953125;-0,157000005245209
1;13641;459819,5;0;0;302100;0;0;15,3599996566772;0;0;-0,0560000017285347
1;159,666702270508;0;35422,25;103723,3984375;363131;72031;0;1,87000000476837;0;76612,1328125;-0,034000001847744
1;59;0;0;62991,08984375;400766;0;0;5,21999979019165;0;0;-0,0599999986588955
1;5838;0;181205;169307;0;0;767285;6,40999984741211;0;95935,5234375;0,0939999967813492
1;9374;0;0;0;0;0;0;7,96999979019165;0;33271,3984375;-0,0219999998807907
1;5623;76346,6015625;0;0;634318;207143;0;5,84000015258789;0;0;-0,0299999993294477
1;42;41834,19140625;0;0;0;501756;0;0,0399999991059303;0;0;-0,0599999986588955
1;4102;0;133114;0;0;0;0;4,71999979019165;0;29623,169921875;-0,0670000016689301
1;9,5;0;0;0;434956;0;0;1,8400000333786;19160;0;-0,034000001847744
1;10534;402378,3125;0;0;328739;0;9;2,22000002861023;0;199893,09375;0,0820000022649765
1;5;21984;0;0;373483;0;0;0,949999988079071;0;23141,009765625;0,00800000037997961
1;17;0;0;0;466372;0;0;0,899999976158142;216719;0;0,152999997138977
1;7936;0;0;0;0;447242;0;2,63000011444092;151589;0;-0,0590000003576279
1;6230;0;0;0;473896;121741;0;16,1700000762939;0;0;0,0650000125169754
1;159,666702270508;0;104206,3984375;96529,09375;7339;26574;0;1,19000005722046;438449;3084,47900390625;-0,0740000009536743
1;122,666702270508;198503,90625;0;35846,55859375;267134;0;0;2,89000010490417;0;314746,6875;0,416000008583069
1;1855;0;10855,51953125;0;0;4433;0;4,59000015258789;0;185460,203125;-0,104000002145767
1;3217;0;0;0;211329;0;0;1,91999995708466;0;0;0,116999998688698
1;648,5;13274,1796875;0;0;279224;0;0;2,90000009536743;0;0;0,123000003397465
1;414,5;14261,8603515625;87712,6875;378585,90625;274420;0;0;2,59999990463257;0;0;0,123000003397465
1;13111;0;0;429110;0;0;0;4,65999984741211;0;0;0,0109999999403954
1;155;0;128664,3984375;0;283090;153199;0;2,35999989509583;0;304827,09375;-0,0579999983310699
1;1040;806,8837890625;0;0;436518;0;0;1,54999995231628;0;160963,703125;0,112000003457069
1;7210;0;0;393110,59375;344327;0;0;17,4500007629395;0;0;0,129999995231628
1;221;0;0;0;278670;0;0;2,97000002861023;0;465200,59375;0,0950000137090683
1;10025,5;0;0;0;418990;0;0;11,5799999237061;0;0;-0,0410000011324883
1;420;0;0;0;469808;2283;0;0,889999985694885;0;308738,59375;0,175999999046326
1;1530;0;0;0;374867;0;0;1,83000004291534;0;374473,40625;0,189999997615814
1;127;0;0;0;336277;0;0;1,47000002861023;0;92257,6875;0,0350000001490116
1;1843;0;0;0;326821;0;0;0,860000014305115;0;0;0,131999999284744
1;415;0;0;0;256358;0;0;2,83999991416931;0;0;0,0659999996423721
1;7108;0;0;0;335124;0;0;1,46000003814697;0;0;0,0710000023245811
1;479;1e+06;0;0;0;0;0;0,709999978542328;0;0;-0,108999997377396
1;19101;5759,0517578125;0;0;347102;0;0;2,19000005722046;0;58328,640625;0,128000006079674
1;57;0;101917,796875;0;392504;0;0;0,839999973773956;0;0;0,0599999986588955
1;1548;0;0;0;347580;164247;0;1,3400000333786;0;0;0,140000000596046
1;16;0;104429,703125;0;290989;647048;0;0,680000007152557;597039;0;0,0599999986588955
1;849;0;0;0;484892;0;0;7,61999988555908;0;0;0,034000001847744
1;808;0;0;0;220407;0;0;2,61999988555908;0;115687,3984375;0,0659999996423721
1;77;524060,3125;0;0;155266;149913;0;0,629999995231628;0;592143,5;0,0149999996647239
1;6393;19385,9609375;0;0;0;0;0;3,16000008583069;0;54657,3515625;-0,0509999990463257
1;276;0;0;0;289088;0;0;35,3600006103516;0;338255;0,073000006377697
1;659;0;0;0;255822;0;0;2,33999991416931;103576;176779,796875;0,101999998092651
1;2;0;0;0;356208;0;0;0,649999976158142;0;299953,40625;-0,0179999992251396
1;5;0;0;0;284564;0;0;3,32999992370605;0;0;0,101999998092651
1;742,5;0;0;0;388150;0;0;0,899999976158142;0;0;0,046000000089407
1;16764;0;0;0;310261;0;0;2,49000000953674;0;0;0,218999996781349
1;8953,5;0;0;0;0;0;0;4,48999977111816;0;454934,3125;-0,00499999988824129
1;2268;0;0;0;339929;0;0;1,96000003814697;0;0;0,143999993801117
1;293;404592,1875;105838,5;0;469357;182166;0;1,73000001907349;0;0;0,256000012159348
1;29;0;0;0;258889;0;0;0,389999985694885;0;0;0,172000005841255
1;356;371911,59375;0;87360,8828125;243164;0;0;0,629999995231628;0;61564,1015625;-0,100000001490116
1;301;389999,8125;0;0;281032;0;0;3,29999995231628;0;0;-0,0610000006854534
1;102;273872,90625;0;343215,6875;189442;192118;2125;9,05000019073486;0;0;0,270999997854233
1;451;0;0;0;470312;0;0;1,5;0;149094,90625;0,126000002026558
1;150;768981,3125;0;0;0;19690;0;1,76999998092651;0;0;-0,0209999997168779
1;2457;0;0;0;290104;0;0;4,21000003814697;0;0;-0,0659999996423721
1;10464;0;0;0;349082;217594;0;9,55000019073486;0;0;-0,0829999968409538
1;2573;0;0;0;382873;289340;0;1,75;0;0;0,143999993801117
1;36;0;93932,4921875;0;562089;0;31315;1,35000002384186;0;0;0,347000002861023
1;6;899420,625;0;0;516836;0;0;1,94000005722046;0;167055,796875;0,177000001072884
1;111;1e+06;0;0;462308;0;0;3,52999997138977;0;82251,3671875;0,00900000054389238
1;1901;1e+06;0;0;562839;0;0;1,36000001430511;0;0;-0,0700000002980232
1;1126;0;0;0;454204;0;0;0,899999976158142;0;0;0,0379999987781048
1;582;0;0;0;529801;0;0;3,22000002861023;0;0;-0,0900000035762787
1;1215;0;0;0;515553;0;0;3,6800000667572;0;0;-0,142000004649162
1;714;0;26096,5703125;0;0;0;0;0,490000009536743;0;9386,208984375;0,0160000007599592
1;9374;0;106687,296875;0;0;46315;0;7,96999979019165;0;58681,359375;-0,0230000000447035
1;289;0;0;0;290585;0;0;2,04999995231628;0;0;0,155000001192093
1;24,5;0;0;70548,8828125;273;187071;0;1,53999996185303;0;0;0,101999998092651
1;974;0;0;0;0;282393;0;0,259999990463257;999999;0;0,0309999994933605
1;12810;0;0;0;439577;0;0;1,70000004768372;0;0;0,218999996781349
1;233;0;0;0;363799;0;0;1,4099999666214;0;0;0,0390000008046627
1;0;0;0;0;679326;250176;0;0,439999997615814;0;0;0,811999976634979
